,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
Cerk,1.13E-26,0.577105743,0.12,0.081,3.75E-22,Tpex,Cerk
Cdk5.1,8.35E-28,0.577091782,0.182,0.135,2.77E-23,Tpex,Cdk5
Ccndbp1.1,1.01E-68,0.576799267,0.394,0.3,3.36E-64,Tpex,Ccndbp1
Sbf1.1,3.46E-42,0.576781959,0.258,0.191,1.15E-37,Tpex,Sbf1
Gm5617,2.64E-23,0.57672558,0.165,0.124,8.73E-19,Tpex,Gm5617
Rras,6.37E-26,0.576612532,0.146,0.104,2.11E-21,Tpex,Rras
Kdm5c.1,1.43E-45,0.576332359,0.268,0.199,4.74E-41,Tpex,Kdm5c
Gm34794.1,5.73E-09,0.576308274,0.024,0.014,0.000189768,Tpex,Gm34794
Rnf123,7.23E-40,0.576136872,0.207,0.145,2.39E-35,Tpex,Rnf123
4833420G17Rik,7.79E-69,0.576072621,0.352,0.257,2.58E-64,Tpex,4833420G17Rik
Glg1.1,6.02E-51,0.575991549,0.33,0.254,2.00E-46,Tpex,Glg1
Cnppd1.1,3.75E-91,0.575750278,0.446,0.335,1.24E-86,Tpex,Cnppd1
Samd10.1,1.27E-13,0.575635222,0.105,0.079,4.22E-09,Tpex,Samd10
Prune1,9.10E-08,0.575433924,0.035,0.023,0.003016499,Tpex,Prune1
Dcaf5,2.33E-21,0.574976683,0.144,0.106,7.73E-17,Tpex,Dcaf5
Slc12a6,1.00E-27,0.574912367,0.147,0.103,3.32E-23,Tpex,Slc12a6
Xpa.1,4.25E-50,0.574874615,0.345,0.271,1.41E-45,Tpex,Xpa
Casp9.1,4.72E-08,0.574812631,0.038,0.026,0.001564049,Tpex,Casp9
Sema4f,2.10E-16,0.574456386,0.07,0.046,6.97E-12,Tpex,Sema4f
Micu1.1,2.94E-20,0.574299272,0.132,0.096,9.73E-16,Tpex,Micu1
Ptpn11.1,2.90E-24,0.573749927,0.252,0.206,9.61E-20,Tpex,Ptpn11
Kmt2a.1,4.09E-80,0.573676548,0.479,0.38,1.35E-75,Tpex,Kmt2a
Zfp738,8.66E-17,0.573641016,0.091,0.063,2.87E-12,Tpex,Zfp738
Rab3gap2.1,2.55E-11,0.573612706,0.073,0.053,8.43E-07,Tpex,Rab3gap2
Tcta.1,2.64E-14,0.573445957,0.074,0.052,8.76E-10,Tpex,Tcta
Abhd8,1.95E-105,0.573435252,0.537,0.427,6.46E-101,Tpex,Abhd8
Tes.1,1.42E-125,0.573231226,0.606,0.5,4.70E-121,Tpex,Tes
H2-DMa,1.16E-55,0.572851849,0.345,0.26,3.83E-51,Tpex,H2-DMa
Rabgap1,2.63E-34,0.572423875,0.186,0.132,8.72E-30,Tpex,Rabgap1
Gm4070,5.95E-22,0.57219585,0.1,0.067,1.97E-17,Tpex,Gm4070
Kmt2b,6.76E-27,0.572186354,0.199,0.152,2.24E-22,Tpex,Kmt2b
Apobec1.1,8.87E-15,0.572057356,0.057,0.037,2.94E-10,Tpex,Apobec1
Jun.1,3.54E-61,0.572052327,0.528,0.445,1.17E-56,Tpex,Jun
Tbl1xr1.1,2.01E-53,0.571972928,0.328,0.249,6.65E-49,Tpex,Tbl1xr1
Slfn2,1.03E-221,0.571959975,0.768,0.626,3.42E-217,Tpex,Slfn2
Cers4.1,7.42E-27,0.571720109,0.225,0.177,2.46E-22,Tpex,Cers4
Matk.1,1.16E-18,0.571706192,0.135,0.101,3.85E-14,Tpex,Matk
Tasor.1,5.52E-57,0.571500701,0.18,0.109,1.83E-52,Tpex,Tasor
Sept6.1,3.58E-190,0.571232129,0.737,0.631,1.19E-185,Tpex,6-Sep
Pigs.1,3.89E-49,0.571152963,0.314,0.239,1.29E-44,Tpex,Pigs
Trappc11,2.26E-20,0.57113364,0.116,0.082,7.50E-16,Tpex,Trappc11
Wrn.1,1.06E-41,0.571122305,0.205,0.143,3.51E-37,Tpex,Wrn
Stat5b.1,3.25E-51,0.571078157,0.305,0.228,1.08E-46,Tpex,Stat5b
Dgkq,1.69E-07,0.571009388,0.037,0.026,0.005609704,Tpex,Dgkq
Hist1h4h.1,2.74E-24,0.570999334,0.098,0.064,9.06E-20,Tpex,Hist1h4h
Cep350.1,6.41E-57,0.570901816,0.291,0.208,2.12E-52,Tpex,Cep350
Trim14,9.94E-41,0.57064235,0.169,0.111,3.30E-36,Tpex,Trim14
Soat1.1,5.12E-30,0.569834653,0.191,0.141,1.70E-25,Tpex,Soat1
Shfl.1,1.15E-29,0.569455074,0.107,0.067,3.80E-25,Tpex,Shfl
Apbb3.1,2.84E-12,0.569400868,0.044,0.028,9.42E-08,Tpex,Apbb3
Cd7.1,5.96E-62,0.569349875,0.43,0.333,1.97E-57,Tpex,Cd7
LTO1.1,3.75E-18,0.569211796,0.054,0.033,1.24E-13,Tpex,LTO1
Prkcd.1,1.30E-27,0.569184973,0.176,0.129,4.29E-23,Tpex,Prkcd
Fahd2a,3.29E-13,0.569176162,0.118,0.092,1.09E-08,Tpex,Fahd2a
Sh3pxd2a,5.80E-18,0.569070197,0.063,0.04,1.92E-13,Tpex,Sh3pxd2a
Efl1,5.43E-25,0.569015289,0.117,0.079,1.80E-20,Tpex,Efl1
Trim23.1,9.89E-10,0.568786213,0.072,0.054,3.28E-05,Tpex,Trim23
Zdhhc4.1,3.42E-41,0.567875956,0.254,0.189,1.13E-36,Tpex,Zdhhc4
Tbc1d10a.1,3.06E-41,0.567859442,0.25,0.184,1.01E-36,Tpex,Tbc1d10a
Erc1.1,1.60E-07,0.567795578,0.052,0.039,0.005317238,Tpex,Erc1
Eif2ak3.1,1.27E-14,0.567513559,0.102,0.076,4.19E-10,Tpex,Eif2ak3
Trpm1.1,2.04E-20,0.567365982,0.079,0.051,6.77E-16,Tpex,Trpm1
Ints11,3.85E-56,0.567297044,0.234,0.155,1.28E-51,Tpex,Ints11
Ripor1,1.50E-23,0.567245008,0.075,0.045,4.98E-19,Tpex,Ripor1
1700120C14Rik.1,2.19E-08,0.566391739,0.017,0.009,0.000724733,Tpex,1700120C14Rik
Wscd2,1.27E-06,0.566345236,0.028,0.019,0.042235752,Tpex,Wscd2
Ldhb.1,7.41E-14,0.565811186,0.08,0.057,2.46E-09,Tpex,Ldhb
Ehmt2.1,4.39E-35,0.565688655,0.253,0.194,1.46E-30,Tpex,Ehmt2
Hivep3.1,2.77E-13,0.565446498,0.113,0.087,9.19E-09,Tpex,Hivep3
Cox15.1,4.60E-13,0.564853934,0.072,0.051,1.53E-08,Tpex,Cox15
Flcn.1,9.25E-21,0.564846707,0.124,0.089,3.06E-16,Tpex,Flcn
Phf12,1.66E-45,0.56461841,0.282,0.211,5.49E-41,Tpex,Phf12
Gm15441.1,2.57E-14,0.564427327,0.045,0.027,8.52E-10,Tpex,Gm15441
Etfrf1.1,3.02E-14,0.56438325,0.061,0.04,1.00E-09,Tpex,Etfrf1
Lsp1.1,0,0.564193923,0.94,0.895,0,Tpex,Lsp1
Dynlt1a.1,1.35E-13,0.563705244,0.089,0.065,4.47E-09,Tpex,Dynlt1a
Elmod3,1.75E-12,0.563278815,0.058,0.04,5.81E-08,Tpex,Elmod3
Sh3bgrl.1,2.80E-55,0.563207582,0.362,0.28,9.28E-51,Tpex,Sh3bgrl
Fryl.1,9.82E-56,0.563029669,0.382,0.301,3.25E-51,Tpex,Fryl
Pip4k2c.1,4.02E-19,0.562945781,0.147,0.112,1.33E-14,Tpex,Pip4k2c
Wsb2.1,7.89E-29,0.562680437,0.194,0.144,2.61E-24,Tpex,Wsb2
Sppl2b.1,5.23E-14,0.56252814,0.08,0.057,1.73E-09,Tpex,Sppl2b
Ap3m2.1,1.86E-21,0.562471094,0.106,0.073,6.16E-17,Tpex,Ap3m2
Elp1.1,5.70E-27,0.562377704,0.099,0.063,1.89E-22,Tpex,Elp1
Ano10.1,2.80E-22,0.562298576,0.114,0.079,9.27E-18,Tpex,Ano10
Tmem147os.1,3.25E-08,0.562182201,0.033,0.022,0.00107767,Tpex,Tmem147os
Sem1.1,4.01E-199,0.562180686,0.705,0.535,1.33E-194,Tpex,Sem1
Rftn1.1,1.34E-52,0.562139817,0.315,0.237,4.46E-48,Tpex,Rftn1
Bcor.1,6.08E-42,0.561221605,0.265,0.197,2.01E-37,Tpex,Bcor
Il1rap.1,1.15E-06,0.561110588,0.047,0.035,0.038234923,Tpex,Il1rap
Snx9.1,1.10E-24,0.56088017,0.18,0.136,3.64E-20,Tpex,Snx9
Nt5dc1.1,2.75E-35,0.560818999,0.245,0.184,9.12E-31,Tpex,Nt5dc1
Dis3l.1,5.07E-13,0.560403369,0.08,0.057,1.68E-08,Tpex,Dis3l
Tpp1.1,4.89E-33,0.560297849,0.215,0.159,1.62E-28,Tpex,Tpp1
Dcaf8,1.07E-62,0.56023686,0.357,0.268,3.53E-58,Tpex,Dcaf8
Lypla2.1,5.73E-109,0.560223302,0.566,0.462,1.90E-104,Tpex,Lypla2
Bin2.1,8.34E-182,0.560144158,0.715,0.584,2.76E-177,Tpex,Bin2
Nbeal1,1.39E-19,0.560120992,0.12,0.087,4.61E-15,Tpex,Nbeal1
Stxbp5.1,1.11E-18,0.559900673,0.142,0.107,3.69E-14,Tpex,Stxbp5
Phf21a.1,8.87E-30,0.559813901,0.191,0.14,2.94E-25,Tpex,Phf21a
Acbd5.1,3.45E-35,0.55979163,0.21,0.151,1.14E-30,Tpex,Acbd5
Tmem242.1,2.75E-36,0.559571379,0.272,0.212,9.10E-32,Tpex,Tmem242
1-Sep,0,0.559495339,0.88,0.829,0,Tpex,1-Sep
Cnn2.1,0,0.558965044,0.958,0.931,0,Tpex,Cnn2
Susd6.1,3.87E-43,0.558857583,0.224,0.158,1.28E-38,Tpex,Susd6
Fuz.1,8.55E-21,0.558826416,0.128,0.093,2.83E-16,Tpex,Fuz
Rcor1,2.31E-42,0.558286778,0.247,0.18,7.67E-38,Tpex,Rcor1
Cd6.1,8.30E-122,0.558135589,0.645,0.54,2.75E-117,Tpex,Cd6
Arel1.1,1.39E-10,0.558086764,0.087,0.066,4.59E-06,Tpex,Arel1
Tmem141.1,1.75E-09,0.558064202,0.035,0.023,5.80E-05,Tpex,Tmem141
Foxo1,1.22E-133,0.557759675,0.547,0.408,4.04E-129,Tpex,Foxo1
Rabep2,4.68E-23,0.557714333,0.175,0.133,1.55E-18,Tpex,Rabep2
2610301B20Rik.1,2.11E-08,0.557697473,0.048,0.035,0.000699951,Tpex,2610301B20Rik
Map3k8,4.61E-14,0.557692929,0.181,0.15,1.53E-09,Tpex,Map3k8
Inpp5a,2.29E-08,0.557668022,0.026,0.016,0.000757739,Tpex,Inpp5a
Vps13b.1,6.37E-31,0.557395832,0.2,0.148,2.11E-26,Tpex,Vps13b
BC017158.1,1.00E-10,0.557160473,0.051,0.035,3.32E-06,Tpex,BC017158
Copg2.1,3.16E-26,0.556582451,0.154,0.11,1.05E-21,Tpex,Copg2
Susd1.1,5.89E-16,0.556235705,0.098,0.07,1.95E-11,Tpex,Susd1
Gpatch2l.1,1.34E-18,0.556232355,0.097,0.067,4.45E-14,Tpex,Gpatch2l
Ints14.1,7.48E-31,0.556187675,0.142,0.096,2.48E-26,Tpex,Ints14
Xpo5.1,6.63E-19,0.556066475,0.104,0.073,2.20E-14,Tpex,Xpo5
Limk1,7.94E-23,0.55602389,0.133,0.094,2.63E-18,Tpex,Limk1
Aldh6a1,1.47E-07,0.555954474,0.034,0.023,0.004881976,Tpex,Aldh6a1
Kyat1,3.87E-07,0.555944977,0.028,0.018,0.012835307,Tpex,Kyat1
Mbd2.1,4.06E-138,0.555792725,0.619,0.507,1.35E-133,Tpex,Mbd2
Stk17b.1,5.47E-295,0.555244724,0.883,0.811,1.81E-290,Tpex,Stk17b
Tcp11l2.1,6.72E-98,0.555155299,0.376,0.25,2.23E-93,Tpex,Tcp11l2
Dcp1a,3.05E-17,0.554957991,0.123,0.092,1.01E-12,Tpex,Dcp1a
Kdm6a.1,4.21E-35,0.554634414,0.231,0.172,1.40E-30,Tpex,Kdm6a
Tchp.1,2.12E-07,0.554584672,0.063,0.049,0.007020972,Tpex,Tchp
Mrps6.1,5.75E-55,0.554432716,0.443,0.367,1.90E-50,Tpex,Mrps6
2310010J17Rik.1,3.59E-21,0.554327806,0.061,0.036,1.19E-16,Tpex,2310010J17Rik
Pi4k2a.1,6.41E-28,0.55423097,0.181,0.133,2.12E-23,Tpex,Pi4k2a
Spryd3.1,5.68E-23,0.553898771,0.174,0.132,1.88E-18,Tpex,Spryd3
Mboat7.1,3.52E-33,0.553872036,0.26,0.203,1.17E-28,Tpex,Mboat7
Map2k7,7.15E-34,0.553593053,0.212,0.156,2.37E-29,Tpex,Map2k7
Hnrnpl.1,1.54E-182,0.553570542,0.729,0.624,5.10E-178,Tpex,Hnrnpl
Selenof,1.55E-152,0.552906086,0.6,0.435,5.14E-148,Tpex,Selenof
Hsdl2.1,1.71E-38,0.552603348,0.272,0.209,5.68E-34,Tpex,Hsdl2
Orai2,5.29E-69,0.552425983,0.334,0.237,1.75E-64,Tpex,Orai2
Klhl24.1,2.44E-46,0.552399435,0.255,0.182,8.09E-42,Tpex,Klhl24
Ppp4r3a.1,3.10E-67,0.552187009,0.302,0.206,1.03E-62,Tpex,Ppp4r3a
Afp,1.62E-15,0.552180716,0.057,0.037,5.36E-11,Tpex,Afp
Ugdh.1,1.90E-24,0.552077936,0.176,0.132,6.30E-20,Tpex,Ugdh
Ppp2cb.1,6.72E-49,0.552063798,0.294,0.218,2.23E-44,Tpex,Ppp2cb
Arhgap17.1,3.73E-36,0.551843974,0.253,0.192,1.24E-31,Tpex,Arhgap17
Fam160a2.1,4.25E-14,0.551582326,0.075,0.052,1.41E-09,Tpex,Fam160a2
Cep19.1,1.50E-25,0.551474455,0.196,0.149,4.98E-21,Tpex,Cep19
Borcs6,7.50E-18,0.551348042,0.124,0.092,2.49E-13,Tpex,Borcs6
N4bp2l1,1.29E-36,0.550982242,0.263,0.202,4.27E-32,Tpex,N4bp2l1
Dnm2.1,2.27E-120,0.550255515,0.541,0.415,7.51E-116,Tpex,Dnm2
Tle5.1,3.96E-248,0.550154213,0.607,0.348,1.31E-243,Tpex,Tle5
Cd1d1,1.74E-29,0.549563962,0.141,0.096,5.75E-25,Tpex,Cd1d1
Wdr41,4.11E-16,0.549419108,0.073,0.049,1.36E-11,Tpex,Wdr41
D330050I16Rik.1,5.94E-08,0.549393522,0.021,0.012,0.001969625,Tpex,D330050I16Rik
Mcur1.1,3.62E-23,0.548646617,0.195,0.151,1.20E-18,Tpex,Mcur1
Adam17.1,1.59E-26,0.548383469,0.191,0.144,5.28E-22,Tpex,Adam17
Ubxn11.1,3.34E-17,0.548376096,0.146,0.113,1.11E-12,Tpex,Ubxn11
Coro1a.1,0,0.548313231,0.999,0.996,0,Tpex,Coro1a
Arrdc3,1.07E-06,0.548138021,0.041,0.03,0.035391028,Tpex,Arrdc3
Abi1.1,1.62E-77,0.547518731,0.46,0.361,5.36E-73,Tpex,Abi1
Uba7,2.89E-45,0.547417458,0.226,0.157,9.57E-41,Tpex,Uba7
Rundc1,1.04E-11,0.547393095,0.072,0.052,3.43E-07,Tpex,Rundc1
Fnbp4.1,8.15E-49,0.546865103,0.343,0.268,2.70E-44,Tpex,Fnbp4
Fam210b.1,1.62E-17,0.546691561,0.095,0.067,5.36E-13,Tpex,Fam210b
Trim21.1,1.61E-30,0.546621006,0.128,0.084,5.35E-26,Tpex,Trim21
Sppl2a.1,8.71E-48,0.546587613,0.313,0.238,2.89E-43,Tpex,Sppl2a
Uba52,3.91E-175,0.546488275,0.796,0.653,1.29E-170,Tpex,Uba52
Gm17092.1,1.36E-06,0.546455681,0.044,0.033,0.045085256,Tpex,Gm17092
Ptpn9.1,7.62E-09,0.54630972,0.096,0.077,0.00025258,Tpex,Ptpn9
Ap4b1.1,1.73E-13,0.54628829,0.076,0.053,5.74E-09,Tpex,Ap4b1
Cand2,5.08E-10,0.545820179,0.048,0.033,1.68E-05,Tpex,Cand2
Zc3h12a,8.79E-25,0.54576636,0.199,0.153,2.91E-20,Tpex,Zc3h12a
Tmem127.1,1.96E-34,0.545555982,0.19,0.135,6.49E-30,Tpex,Tmem127
Peg13.1,3.48E-11,0.545464673,0.03,0.017,1.15E-06,Tpex,Peg13
Ipp.1,9.12E-16,0.545391661,0.094,0.068,3.02E-11,Tpex,Ipp
Emb.1,4.26E-177,0.54482712,0.735,0.602,1.41E-172,Tpex,Emb
Sgms1,1.47E-13,0.544783313,0.102,0.076,4.87E-09,Tpex,Sgms1
Fig4.1,1.65E-12,0.544782999,0.094,0.07,5.47E-08,Tpex,Fig4
Atp5mpl.1,3.07E-193,0.544771575,0.529,0.313,1.02E-188,Tpex,Atp5mpl
Gadd45b.1,3.33E-41,0.544305928,0.404,0.338,1.10E-36,Tpex,Gadd45b
Zfp710.1,8.00E-11,0.544090143,0.053,0.036,2.65E-06,Tpex,Zfp710
Scyl2.1,2.58E-20,0.544083196,0.167,0.129,8.56E-16,Tpex,Scyl2
Vps28.1,8.78E-140,0.543503608,0.592,0.433,2.91E-135,Tpex,Vps28
Nudt7.1,2.14E-12,0.543376165,0.071,0.05,7.08E-08,Tpex,Nudt7
Fmo5.1,2.05E-14,0.543100767,0.043,0.026,6.78E-10,Tpex,Fmo5
Slc36a3os.1,1.01E-19,0.543082781,0.164,0.126,3.33E-15,Tpex,Slc36a3os
Man1a.1,1.20E-53,0.542826548,0.336,0.253,3.99E-49,Tpex,Man1a
Adam10.1,2.37E-40,0.542800968,0.32,0.254,7.85E-36,Tpex,Adam10
Zmym2,3.32E-17,0.542765742,0.129,0.097,1.10E-12,Tpex,Zmym2
Edem3.1,6.13E-10,0.542746634,0.071,0.053,2.03E-05,Tpex,Edem3
Hist1h4d.1,1.27E-92,0.542591744,0.241,0.139,4.21E-88,Tpex,Hist1h4d
Ppp3cc,4.07E-65,0.542231846,0.415,0.326,1.35E-60,Tpex,Ppp3cc
E2f2.1,1.73E-11,0.542141372,0.106,0.083,5.72E-07,Tpex,E2f2
Plp2.1,6.05E-59,0.542062362,0.397,0.314,2.00E-54,Tpex,Plp2
P2rx7.1,4.32E-09,0.541960996,0.022,0.013,0.000143187,Tpex,P2rx7
Cog2.1,1.07E-25,0.541192179,0.181,0.136,3.54E-21,Tpex,Cog2
Ccpg1.1,2.86E-35,0.54070152,0.185,0.129,9.49E-31,Tpex,Ccpg1
Prmt2.1,3.87E-08,0.54033889,0.079,0.062,0.001282341,Tpex,Prmt2
Lrch3,1.23E-40,0.540321972,0.221,0.156,4.09E-36,Tpex,Lrch3
Ncoa2,6.66E-35,0.540319808,0.264,0.204,2.21E-30,Tpex,Ncoa2
Phf7.1,1.02E-17,0.539838038,0.112,0.081,3.39E-13,Tpex,Phf7
Ctsb.1,5.93E-136,0.539795488,0.658,0.528,1.96E-131,Tpex,Ctsb
Cabin1.1,3.61E-58,0.539769398,0.372,0.286,1.20E-53,Tpex,Cabin1
Mob3a.1,2.20E-78,0.539718048,0.464,0.365,7.28E-74,Tpex,Mob3a
Taf1b.1,2.95E-31,0.539662436,0.217,0.163,9.76E-27,Tpex,Taf1b
Rsu1.1,8.05E-49,0.539578344,0.355,0.28,2.67E-44,Tpex,Rsu1
Yipf1.1,1.90E-58,0.53905269,0.384,0.299,6.29E-54,Tpex,Yipf1
Phf6.1,1.20E-39,0.538975908,0.308,0.241,3.96E-35,Tpex,Phf6
Crtc2.1,1.72E-32,0.538514343,0.218,0.163,5.68E-28,Tpex,Crtc2
Nadsyn1.1,4.26E-09,0.538489794,0.039,0.026,0.000141291,Tpex,Nadsyn1
Galk2.1,4.50E-32,0.538324098,0.238,0.182,1.49E-27,Tpex,Galk2
Mark4.1,1.37E-16,0.537389498,0.09,0.063,4.53E-12,Tpex,Mark4
Hbp1.1,1.22E-52,0.537362156,0.253,0.174,4.03E-48,Tpex,Hbp1
Nfkbie.1,2.44E-26,0.536918823,0.188,0.141,8.07E-22,Tpex,Nfkbie
Dok1.1,2.84E-17,0.536646876,0.18,0.145,9.39E-13,Tpex,Dok1
Specc1l,8.48E-21,0.536636293,0.151,0.113,2.81E-16,Tpex,Specc1l
Pygo2.1,2.89E-20,0.536594645,0.125,0.09,9.58E-16,Tpex,Pygo2
Gnpda1.1,1.08E-32,0.53657737,0.23,0.174,3.57E-28,Tpex,Gnpda1
Ten1.1,3.69E-67,0.536159485,0.466,0.381,1.22E-62,Tpex,Ten1
Mia3,7.05E-50,0.535811748,0.33,0.252,2.34E-45,Tpex,Mia3
Glud1.1,2.75E-111,0.535794407,0.62,0.521,9.11E-107,Tpex,Glud1
Ufl1.1,5.58E-25,0.535333324,0.195,0.148,1.85E-20,Tpex,Ufl1
Furin,3.06E-18,0.535102658,0.14,0.105,1.01E-13,Tpex,Furin
Iba57.1,1.86E-08,0.53497925,0.052,0.038,0.000617705,Tpex,Iba57
Hmgcl.1,1.29E-34,0.534617165,0.241,0.182,4.26E-30,Tpex,Hmgcl
Usp12,5.67E-20,0.534410025,0.128,0.093,1.88E-15,Tpex,Usp12
Ogfr.1,6.68E-60,0.534214659,0.428,0.344,2.21E-55,Tpex,Ogfr
Csnk1g3.1,3.33E-34,0.534069047,0.283,0.224,1.10E-29,Tpex,Csnk1g3
Arhgap10.1,2.06E-10,0.533776579,0.111,0.088,6.83E-06,Tpex,Arhgap10
Map4k1.1,1.71E-51,0.533766788,0.366,0.289,5.68E-47,Tpex,Map4k1
Aplp2.1,4.43E-18,0.53373697,0.198,0.161,1.47E-13,Tpex,Aplp2
Cd27.1,5.20E-203,0.533440097,0.781,0.693,1.72E-198,Tpex,Cd27
Dcaf11.1,1.53E-37,0.533025108,0.271,0.207,5.06E-33,Tpex,Dcaf11
Brox.1,2.28E-16,0.532617131,0.127,0.096,7.57E-12,Tpex,Brox
P2ry10,3.14E-21,0.532439493,0.211,0.17,1.04E-16,Tpex,P2ry10
Usp32.1,1.07E-22,0.532120521,0.119,0.082,3.54E-18,Tpex,Usp32
Atp6ap2.1,3.00E-58,0.531780665,0.372,0.286,9.94E-54,Tpex,Atp6ap2
Tspan31.1,2.04E-52,0.531763848,0.382,0.304,6.77E-48,Tpex,Tspan31
Ciao2b.1,1.47E-73,0.531721472,0.236,0.143,4.87E-69,Tpex,Ciao2b
Pts.1,7.54E-46,0.53164996,0.351,0.277,2.50E-41,Tpex,Pts
Gstm4.1,1.39E-07,0.531443389,0.035,0.024,0.004596323,Tpex,Gstm4
Slc30a1,8.02E-07,0.531237713,0.057,0.044,0.026573303,Tpex,Slc30a1
Pde4dip,3.28E-16,0.531213386,0.102,0.073,1.09E-11,Tpex,Pde4dip
Rbl2.1,6.57E-33,0.531200567,0.267,0.209,2.18E-28,Tpex,Rbl2
Tmem181a.1,7.42E-25,0.5311577,0.154,0.111,2.46E-20,Tpex,Tmem181a
1700037C18Rik,1.50E-17,0.531001771,0.109,0.078,4.97E-13,Tpex,1700037C18Rik
Prdm2.1,6.01E-36,0.530663459,0.205,0.147,1.99E-31,Tpex,Prdm2
AW549877,1.35E-20,0.530213793,0.1,0.068,4.49E-16,Tpex,AW549877
Aktip.1,4.52E-12,0.530084517,0.093,0.07,1.50E-07,Tpex,Aktip
Chmp1a.1,1.21E-72,0.529310053,0.463,0.37,4.00E-68,Tpex,Chmp1a
Gdap2.1,6.00E-16,0.529152541,0.118,0.088,1.99E-11,Tpex,Gdap2
Ccng2.1,1.24E-39,0.528469009,0.247,0.181,4.11E-35,Tpex,Ccng2
Dnaaf5,3.30E-17,0.528452277,0.097,0.068,1.09E-12,Tpex,Dnaaf5
Rusc1.1,2.11E-27,0.527128058,0.207,0.158,7.00E-23,Tpex,Rusc1
Rasal3,2.53E-128,0.527052275,0.634,0.52,8.39E-124,Tpex,Rasal3
Arhgap1.1,3.31E-42,0.526798095,0.311,0.242,1.10E-37,Tpex,Arhgap1
Rfxank,2.06E-13,0.526696717,0.101,0.075,6.81E-09,Tpex,Rfxank
Fibp.1,2.16E-41,0.526520557,0.329,0.26,7.16E-37,Tpex,Fibp
Arrdc2.1,8.20E-08,0.526423481,0.048,0.035,0.002718157,Tpex,Arrdc2
Zfp217,5.82E-22,0.526246407,0.132,0.095,1.93E-17,Tpex,Zfp217
Herc2,2.66E-36,0.526246158,0.259,0.198,8.81E-32,Tpex,Herc2
Map4.1,1.53E-52,0.526105257,0.385,0.306,5.08E-48,Tpex,Map4
Lrmp.1,1.12E-67,0.525955067,0.442,0.35,3.70E-63,Tpex,Lrmp
Fam234a,4.72E-17,0.52585447,0.086,0.059,1.56E-12,Tpex,Fam234a
Nfkbiz,3.14E-30,0.525852307,0.333,0.279,1.04E-25,Tpex,Nfkbiz
Gpr183.1,7.01E-15,0.525837824,0.292,0.258,2.32E-10,Tpex,Gpr183
Rcbtb1.1,5.27E-40,0.525739126,0.239,0.174,1.75E-35,Tpex,Rcbtb1
Fmnl3.1,4.07E-11,0.52535866,0.094,0.072,1.35E-06,Tpex,Fmnl3
Hook3,2.80E-22,0.525340577,0.199,0.156,9.28E-18,Tpex,Hook3
Fam120b,8.42E-36,0.525295558,0.204,0.145,2.79E-31,Tpex,Fam120b
Atxn7l1.1,4.69E-18,0.52520761,0.175,0.138,1.55E-13,Tpex,Atxn7l1
Eif2ak1.1,3.51E-26,0.525049718,0.199,0.152,1.16E-21,Tpex,Eif2ak1
Ninj1,8.18E-17,0.524597628,0.146,0.113,2.71E-12,Tpex,Ninj1
Cnst,4.41E-12,0.524455692,0.082,0.061,1.46E-07,Tpex,Cnst
Rac2.1,0,0.523861655,0.998,0.996,0,Tpex,Rac2
Fermt3.1,9.16E-135,0.523555377,0.656,0.562,3.04E-130,Tpex,Fermt3
Dstyk.1,1.47E-06,0.523245757,0.031,0.021,0.048712835,Tpex,Dstyk
Il6st.1,8.52E-59,0.52321069,0.333,0.241,2.82E-54,Tpex,Il6st
Scyl3.1,1.38E-21,0.523107436,0.131,0.094,4.58E-17,Tpex,Scyl3
Slc25a1.1,6.25E-13,0.52250178,0.14,0.112,2.07E-08,Tpex,Slc25a1
Rps6kb2.1,3.05E-23,0.522418666,0.183,0.14,1.01E-18,Tpex,Rps6kb2
Ctla2b.1,4.84E-07,0.522014918,0.172,0.154,0.016032649,Tpex,Ctla2b
Trim8.1,1.60E-45,0.521983349,0.324,0.252,5.30E-41,Tpex,Trim8
Ero1lb.1,1.92E-09,0.521945817,0.077,0.058,6.35E-05,Tpex,Ero1lb
Unc13d.1,3.40E-48,0.521498379,0.311,0.236,1.12E-43,Tpex,Unc13d
Nt5c2.1,8.24E-16,0.52100465,0.109,0.081,2.73E-11,Tpex,Nt5c2
1810034E14Rik,8.19E-25,0.520793854,0.1,0.065,2.71E-20,Tpex,1810034E14Rik
Tbc1d10c.1,2.28E-214,0.520747697,0.793,0.691,7.57E-210,Tpex,Tbc1d10c
Acbd4.1,4.93E-09,0.520468935,0.078,0.06,0.000163312,Tpex,Acbd4
Sfxn3,2.39E-37,0.520357879,0.23,0.168,7.94E-33,Tpex,Sfxn3
Terf2ip,1.42E-27,0.520336765,0.164,0.118,4.72E-23,Tpex,Terf2ip
4932438A13Rik.1,2.47E-67,0.519901969,0.409,0.314,8.19E-63,Tpex,4932438A13Rik
Tmx3.1,3.81E-34,0.519353303,0.279,0.218,1.26E-29,Tpex,Tmx3
Fbxo4.1,1.83E-12,0.519086252,0.145,0.118,6.06E-08,Tpex,Fbxo4
Slc25a39.1,2.85E-55,0.519026074,0.349,0.264,9.44E-51,Tpex,Slc25a39
Tfdp1.1,1.05E-40,0.519004829,0.209,0.145,3.47E-36,Tpex,Tfdp1
Traf1.1,1.58E-131,0.518995955,0.696,0.588,5.22E-127,Tpex,Traf1
